geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
597,811,CALR,calreticulin,0.89133,0.413,0.923
600,815,CAMK2A,calcium/calmodulin dependent protein kinase II alpha,0.99845,0.612,0.538
603,818,CAMK2G,calcium/calmodulin dependent protein kinase II gamma,0.9991,0.67,0.462
608,823,CAPN1,calpain 1,5.8554e-10,0.539,0.808
609,824,CAPN2,calpain 2,3.519e-22,0.59,0.692
610,825,CAPN3,calpain 3,3.5865e-19,0.564,0.615
617,832,CAPZB,capping actin protein of muscle Z-line subunit beta,0.91165,0.729,0.308
619,834,CASP1,caspase 1,3.5183e-05,0.413,0.885
621,836,CASP3,caspase 3,0.10017,0.351,0.923
625,840,CASP7,caspase 7,5.3589e-05,0.581,0.654
626,841,CASP8,caspase 8,3.7236e-06,0.404,0.923
627,842,CASP9,caspase 9,7.3826e-06,0.458,0.808
628,843,CASP10,caspase 10,4.6392e-12,0.528,0.692
630,845,CASQ2,calsequestrin 2,1.3885e-12,0.691,0.385
631,846,CASR,calcium sensing receptor,0.046698,0.41,0.846
632,847,CAT,catalase,1.6263e-10,0.359,0.962
634,857,CAV1,caveolin 1,0.008274,0.388,0.885
635,858,CAV2,caveolin 2,0.026973,0.575,0.692
636,859,CAV3,caveolin 3,0.0054565,0.564,0.692
637,860,RUNX2,RUNX family transcription factor 2,0.94884,0.437,0.846
638,861,RUNX1,RUNX family transcription factor 1,0.65377,0.425,0.808
639,862,RUNX1T1,RUNX1 partner transcriptional co-repressor 1,0.97768,0.53,0.808
641,864,RUNX3,RUNX family transcription factor 3,0.84295,0.459,0.731
642,865,CBFB,core-binding factor subunit beta,0.9589,0.601,0.538
643,866,SERPINA6,serpin family A member 6,8.3448e-07,0.606,0.731
644,867,CBL,Cbl proto-oncogene,0.00060921,0.527,0.769
647,871,SERPINH1,serpin family H member 1,0.027553,0.545,0.769
650,875,CBS,cystathionine beta-synthase,3.0799e-05,0.465,0.885
654,885,CCK,cholecystokinin,3.3034e-05,0.453,0.846
655,886,CCKAR,cholecystokinin A receptor,0.0040329,0.615,0.5
656,887,CCKBR,cholecystokinin B receptor,2.1404e-06,0.573,0.615
657,889,KRIT1,KRIT1 ankyrin repeat containing,0.00069333,0.5,0.808
659,891,CCNB1,cyclin B1,0.15993,0.512,0.731
661,894,CCND2,cyclin D2,0.98658,0.477,0.808
662,896,CCND3,cyclin D3,0.98347,0.554,0.654
663,898,CCNE1,cyclin E1,0.97187,0.538,0.731
664,899,CCNF,cyclin F,0.12679,0.7,0.615
667,902,CCNH,cyclin H,0.00081328,0.595,0.769
677,914,CD2,CD2 molecule,0.47108,0.641,0.577
678,915,CD3D,CD3d molecule,8.5898e-05,0.626,0.577
679,916,CD3E,CD3e molecule,0.00034464,0.615,0.615
681,919,CD247,CD247 molecule,0.016734,0.539,0.731
682,920,CD4,CD4 molecule,0.00078914,0.604,0.654
684,922,CD5L,CD5 molecule like,4.2297e-17,0.593,0.846
685,923,CD6,CD6 molecule,9.2695e-05,0.489,0.808
690,928,CD9,CD9 molecule,0.0047221,0.528,0.769
691,929,CD14,CD14 molecule,4.8813e-05,0.392,0.885
692,930,CD19,CD19 molecule,0.90496,0.43,0.885
693,931,MS4A1,membrane spanning 4-domains A1,5.0781e-05,0.411,0.846
697,940,CD28,CD28 molecule,0.35779,0.436,0.885
698,941,CD80,CD80 molecule,0.010898,0.475,0.769
699,942,CD86,CD86 molecule,0.94879,0.483,0.769
700,943,TNFRSF8,TNF receptor superfamily member 8,0.86407,0.444,0.808
702,945,CD33,CD33 molecule,5.6888e-07,0.524,0.769
703,946,SIGLEC6,sialic acid binding Ig like lectin 6,0.0058774,0.861,0.192
704,947,CD34,CD34 molecule,4.9881e-06,0.368,0.808
705,948,CD36,CD36 molecule,1.0857e-60,0.446,0.846
706,949,SCARB1,scavenger receptor class B member 1,0.066228,0.559,0.731
707,950,SCARB2,scavenger receptor class B member 2,8.9495e-05,0.606,0.615
709,952,CD38,CD38 molecule,2.3129e-06,0.407,0.885
710,953,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,0.0080716,0.499,0.769
711,954,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2,1.4578e-14,0.76,0.269
715,958,CD40,CD40 molecule,0.84603,0.396,0.846
716,959,CD40LG,CD40 ligand,0.72079,0.414,0.846
717,960,CD44,CD44 molecule (Indian blood group),2.4476e-07,0.363,0.962
721,965,CD58,CD58 molecule,0.25092,0.584,0.769
722,966,CD59,CD59 molecule (CD59 blood group),0.60568,0.469,0.808
724,968,CD68,CD68 molecule,1.4063e-06,0.408,0.808
725,969,CD69,CD69 molecule,0.029691,0.488,0.923
728,972,CD74,CD74 molecule,0.24889,0.512,0.808
729,973,CD79A,CD79a molecule,0.69226,0.536,0.731
730,974,CD79B,CD79b molecule,0.9163,0.576,0.577
731,975,CD81,CD81 molecule,0.91844,0.555,0.846
734,978,CDA,cytidine deaminase,0.0081038,0.558,0.731
737,983,CDK1,cyclin dependent kinase 1,0.99206,0.482,0.808
739,987,LRBA,LPS responsive beige-like anchor protein,7.1503e-12,0.608,0.692
742,990,CDC6,cell division cycle 6,1.1499e-09,0.552,0.731
749,998,CDC42,cell division cycle 42,0.78728,0.458,0.846
750,999,CDH1,cadherin 1,0.14631,0.401,0.808
751,1000,CDH2,cadherin 2,0.99171,0.535,0.731
752,1001,CDH3,cadherin 3,2.7988e-10,0.56,0.615
753,1002,CDH4,cadherin 4,0.74348,0.695,0.462
754,1003,CDH5,cadherin 5,0.51314,0.561,0.692
756,1005,CDH7,cadherin 7,0.5975,0.769,0.231
760,1009,CDH11,cadherin 11,0.9999,0.512,0.808
761,1010,CDH12,cadherin 12,0.00036444,0.821,0.308
762,1012,CDH13,cadherin 13,0.0007058,0.501,0.846
763,1013,CDH15,cadherin 15,1.7656e-14,0.653,0.615
764,1014,CDH16,cadherin 16,3.6527e-25,0.76,0.154
765,1015,CDH17,cadherin 17,3.4172e-14,0.636,0.615
766,1016,CDH18,cadherin 18,0.21478,0.769,0.269
767,1017,CDK2,cyclin dependent kinase 2,0.61054,0.456,0.692
769,1019,CDK4,cyclin dependent kinase 4,0.062909,0.412,0.808
770,1020,CDK5,cyclin dependent kinase 5,0.13892,0.495,0.846
771,1021,CDK6,cyclin dependent kinase 6,0.98315,0.471,0.731
773,1024,CDK8,cyclin dependent kinase 8,0.40964,0.597,0.654
774,1025,CDK9,cyclin dependent kinase 9,8.893e-05,0.498,0.769
775,1026,CDKN1A,cyclin dependent kinase inhibitor 1A,0.0018575,0.403,0.769
776,1027,CDKN1B,cyclin dependent kinase inhibitor 1B,0.62376,0.409,0.769
777,1028,CDKN1C,cyclin dependent kinase inhibitor 1C,0.81963,0.456,0.846
778,1029,CDKN2A,cyclin dependent kinase inhibitor 2A,0.39474,0.3,0.885
779,1030,CDKN2B,cyclin dependent kinase inhibitor 2B,0.0073369,0.417,0.769
780,1031,CDKN2C,cyclin dependent kinase inhibitor 2C,0.39526,0.527,0.654
786,1040,CDS1,CDP-diacylglycerol synthase 1,0.00064056,0.647,0.462
787,1041,CDSN,corneodesmosin,0.46391,0.585,0.731
790,1045,CDX2,caudal type homeobox 2,0.52887,0.458,0.769
793,1048,CEACAM5,CEA cell adhesion molecule 5,4.1625e-10,0.42,0.846
794,1050,CEBPA,CCAAT enhancer binding protein alpha,0.55365,0.496,0.692
795,1051,CEBPB,CCAAT enhancer binding protein beta,0.35809,0.508,0.731
796,1052,CEBPD,CCAAT enhancer binding protein delta,0.61219,0.57,0.769
800,1056,CEL,carboxyl ester lipase,1.538e-06,0.514,0.808
806,1062,CENPE,centromere protein E,0.24146,0.636,0.692
807,1063,CENPF,centromere protein F,1.8822e-36,0.601,0.654
808,1066,CES1,carboxylesterase 1,3.3228e-15,0.59,0.692
812,1071,CETP,cholesteryl ester transfer protein,1.1892e-23,0.512,0.731
813,1072,CFL1,cofilin 1,0.55563,0.529,0.769
814,1073,CFL2,cofilin 2,6.4399e-05,0.659,0.5
815,1075,CTSC,cathepsin C,1.1451e-07,0.541,0.731
816,1080,CFTR,CF transmembrane conductance regulator,2.1735e-58,0.424,0.885
817,1081,CGA,"glycoprotein hormones, alpha polypeptide",0.34518,0.508,0.808
826,1103,CHAT,choline O-acetyltransferase,5.6328e-11,0.52,0.808
828,1105,CHD1,chromodomain helicase DNA binding protein 1,1,0.628,0.692
829,1106,CHD2,chromodomain helicase DNA binding protein 2,1,0.585,0.577
830,1107,CHD3,chromodomain helicase DNA binding protein 3,1,0.67,0.577
831,1108,CHD4,chromodomain helicase DNA binding protein 4,1,0.593,0.654
832,1109,AKR1C4,aldo-keto reductase family 1 member C4,2.2341e-17,0.587,0.846
833,1111,CHEK1,checkpoint kinase 1,3.14e-08,0.492,0.808
834,1112,FOXN3,forkhead box N3,0.93167,0.686,0.538
835,1113,CHGA,chromogranin A,0.030369,0.49,0.808
837,1116,CHI3L1,chitinase 3 like 1,1.1133e-05,0.419,0.885
839,1118,CHIT1,chitinase 1,7.1716e-16,0.525,0.692
841,1120,CHKB,choline kinase beta,3.7831e-07,0.663,0.423
842,1121,CHM,CHM Rab escort protein,0.99899,0.592,0.654
844,1123,CHN1,chimerin 1,0.030508,0.573,0.615
845,1124,CHN2,chimerin 2,0.0023008,0.711,0.615
846,1128,CHRM1,cholinergic receptor muscarinic 1,0.99059,0.65,0.577
847,1129,CHRM2,cholinergic receptor muscarinic 2,0.18197,0.585,0.615
848,1130,LYST,lysosomal trafficking regulator,0.015026,0.621,0.692
849,1131,CHRM3,cholinergic receptor muscarinic 3,0.99253,0.464,0.885
850,1132,CHRM4,cholinergic receptor muscarinic 4,0.97439,0.821,0.231
852,1134,CHRNA1,cholinergic receptor nicotinic alpha 1 subunit,2.0681e-08,0.615,0.577
853,1135,CHRNA2,cholinergic receptor nicotinic alpha 2 subunit,6.4532e-10,0.705,0.385
854,1136,CHRNA3,cholinergic receptor nicotinic alpha 3 subunit,1.4197e-07,0.588,0.692
855,1137,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit,8.5474e-05,0.492,0.808
856,1138,CHRNA5,cholinergic receptor nicotinic alpha 5 subunit,2.1488e-06,0.593,0.577
857,1139,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit,0.00041549,0.532,0.654
858,1140,CHRNB1,cholinergic receptor nicotinic beta 1 subunit,5.0456e-08,0.7,0.462
859,1141,CHRNB2,cholinergic receptor nicotinic beta 2 subunit,0.00072964,0.617,0.308
860,1142,CHRNB3,cholinergic receptor nicotinic beta 3 subunit,8.5898e-06,0.705,0.308
861,1143,CHRNB4,cholinergic receptor nicotinic beta 4 subunit,0.1427,0.644,0.423
862,1144,CHRND,cholinergic receptor nicotinic delta subunit,5.4466e-09,0.641,0.462
863,1145,CHRNE,cholinergic receptor nicotinic epsilon subunit,4.7293e-09,0.636,0.577
864,1146,CHRNG,cholinergic receptor nicotinic gamma subunit,3.3338e-19,0.573,0.692
865,1147,CHUK,component of inhibitor of nuclear factor kappa B kinase complex,0.99403,0.556,0.731
867,1152,CKB,creatine kinase B,0.2189,0.608,0.615
872,1159,CKMT1B,"creatine kinase, mitochondrial 1B",3.2331e-05,0.729,0.346
874,1161,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",2.7974e-15,0.551,0.885
875,1163,CKS1B,CDC28 protein kinase regulatory subunit 1B,0.4314,0.587,0.654
880,1175,AP2S1,adaptor related protein complex 2 subunit sigma 1,0.78518,0.705,0.346
882,1178,CLC,Charcot-Leyden crystal galectin,2.3026e-05,0.65,0.731
884,1180,CLCN1,chloride voltage-gated channel 1,3.2501e-20,0.641,0.423
885,1181,CLCN2,chloride voltage-gated channel 2,5.546e-12,0.626,0.462
886,1182,CLCN3,chloride voltage-gated channel 3,0.99973,0.621,0.615
887,1183,CLCN4,chloride voltage-gated channel 4,0.99893,0.587,0.654
888,1184,CLCN5,chloride voltage-gated channel 5,0.99242,0.593,0.577
890,1186,CLCN7,chloride voltage-gated channel 7,0.27238,0.59,0.731
891,1187,CLCNKA,chloride voltage-gated channel Ka,4.2296e-17,0.711,0.385
892,1188,CLCNKB,chloride voltage-gated channel Kb,1.4025e-22,0.593,0.692
893,1191,CLU,clusterin,7.8072e-05,0.426,0.885
894,1192,CLIC1,chloride intracellular channel 1,0.00019265,0.601,0.5
895,1193,CLIC2,chloride intracellular channel 2,0.049547,0.7,0.5
900,1200,TPP1,tripeptidyl peptidase 1,6.2564e-07,0.551,0.808
901,1201,CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin",1.3327e-07,0.572,0.692
902,1203,CLN5,CLN5 intracellular trafficking protein,1.7111e-08,0.705,0.269
906,1211,CLTA,clathrin light chain A,0.96319,0.628,0.654
908,1213,CLTC,clathrin heavy chain,1,0.558,0.769
909,1215,CMA1,chymase 1,7.5861e-09,0.514,0.692
911,1230,CCR1,C-C motif chemokine receptor 1,0.38775,0.531,0.769
912,1232,CCR3,C-C motif chemokine receptor 3,0.00012636,0.527,0.808
913,1233,CCR4,C-C motif chemokine receptor 4,0.06863,0.51,0.731
914,1234,CCR5,C-C motif chemokine receptor 5 (gene/pseudogene),4.3094e-10,0.398,0.885
915,1235,CCR6,C-C motif chemokine receptor 6,0.0057867,0.485,0.808
916,1236,CCR7,C-C motif chemokine receptor 7,0.057623,0.443,0.769
917,1237,CCR8,C-C motif chemokine receptor 8,0.0077492,0.597,0.692
918,1238,ACKR2,atypical chemokine receptor 2,0.001388,0.641,0.615
920,1241,LTB4R,leukotriene B4 receptor,0.11994,0.576,0.692
922,1244,ABCC2,ATP binding cassette subfamily C member 2,5.2025e-47,0.483,0.808
928,1259,CNGA1,cyclic nucleotide gated channel subunit alpha 1,2.7618e-11,0.695,0.269
933,1265,CNN2,calponin 2,0.024399,0.666,0.538
936,1268,CNR1,cannabinoid receptor 1,0.50652,0.446,0.808
937,1269,CNR2,cannabinoid receptor 2,6.5369e-06,0.509,0.846
938,1270,CNTF,ciliary neurotrophic factor,2.3384e-05,0.561,0.615
940,1272,CNTN1,contactin 1,0.15131,0.599,0.577
942,1277,COL1A1,collagen type I alpha 1 chain,1,0.43,0.808
943,1278,COL1A2,collagen type I alpha 2 chain,1,0.486,0.846
944,1280,COL2A1,collagen type II alpha 1 chain,1,0.444,0.846
945,1281,COL3A1,collagen type III alpha 1 chain,1,0.477,0.808
946,1282,COL4A1,collagen type IV alpha 1 chain,1,0.484,0.731
947,1284,COL4A2,collagen type IV alpha 2 chain,3.5842e-15,0.563,0.654
948,1285,COL4A3,collagen type IV alpha 3 chain,1.0699e-12,0.552,0.692
949,1286,COL4A4,collagen type IV alpha 4 chain,6.7123e-16,0.644,0.5
950,1287,COL4A5,collagen type IV alpha 5 chain,1,0.553,0.654
951,1288,COL4A6,collagen type IV alpha 6 chain,0.89901,0.686,0.423
952,1289,COL5A1,collagen type V alpha 1 chain,1,0.536,0.769
953,1290,COL5A2,collagen type V alpha 2 chain,1,0.568,0.731
954,1291,COL6A1,collagen type VI alpha 1 chain,0.99995,0.587,0.731
955,1292,COL6A2,collagen type VI alpha 2 chain,6.5112e-08,0.599,0.692
956,1293,COL6A3,collagen type VI alpha 3 chain,1.8131e-20,0.563,0.769
957,1294,COL7A1,collagen type VII alpha 1 chain,2.4411e-40,0.545,0.808
959,1296,COL8A2,collagen type VIII alpha 2 chain,0.11765,0.67,0.423
960,1297,COL9A1,collagen type IX alpha 1 chain,3.0742e-19,0.566,0.731
961,1298,COL9A2,collagen type IX alpha 2 chain,1.0453e-08,0.572,0.769
962,1299,COL9A3,collagen type IX alpha 3 chain,3.278e-12,0.569,0.769
963,1300,COL10A1,collagen type X alpha 1 chain,2.9839e-05,0.619,0.5
964,1301,COL11A1,collagen type XI alpha 1 chain,1,0.495,0.846
965,1302,COL11A2,collagen type XI alpha 2 chain,0.70197,0.435,0.846
966,1303,COL12A1,collagen type XII alpha 1 chain,0.97361,0.615,0.692
967,1305,COL13A1,collagen type XIII alpha 1 chain,3.7355e-14,0.608,0.654
970,1308,COL17A1,collagen type XVII alpha 1 chain,2.2869e-27,0.545,0.769
972,1311,COMP,cartilage oligomeric matrix protein,1.3462e-09,0.503,0.808
973,1312,COMT,catechol-O-methyltransferase,1.1377e-06,0.4,0.923
974,1314,COPA,COPI coat complex subunit alpha,1,0.7,0.385
975,1315,COPB1,COPI coat complex subunit beta 1,0.99994,0.89,0.192
982,1327,COX4I1,cytochrome c oxidase subunit 4I1,0.39416,0.691,0.5
986,1340,COX6B1,cytochrome c oxidase subunit 6B1,0.12065,0.7,0.577
991,1349,COX7B,cytochrome c oxidase subunit 7B,0.67459,0.595,0.654
993,1351,COX8A,cytochrome c oxidase subunit 8A,0.11606,0.4,0.846
994,1352,COX10,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10,0.08405,0.623,0.654
996,1355,COX15,cytochrome c oxidase assembly homolog COX15,1.1031e-13,0.638,0.538
997,1356,CP,ceruloplasmin,4.2013e-10,0.466,0.846
998,1357,CPA1,carboxypeptidase A1,2.6567e-11,0.65,0.577
1000,1359,CPA3,carboxypeptidase A3,2.0416e-16,0.729,0.346
1001,1360,CPB1,carboxypeptidase B1,2.6104e-22,0.626,0.654
1002,1361,CPB2,carboxypeptidase B2,2.7076e-17,0.536,0.846
1005,1364,CLDN4,claudin 4,6.9789e-05,0.514,0.692
1007,1366,CLDN7,claudin 7,0.0028828,0.494,0.808
1010,1370,CPN2,carboxypeptidase N subunit 2,0.0026009,0.839,0.192
1011,1371,CPOX,coproporphyrinogen oxidase,0.17152,0.488,0.846
1012,1373,CPS1,carbamoyl-phosphate synthase 1,1.0947e-09,0.59,0.615
1013,1374,CPT1A,carnitine palmitoyltransferase 1A,5.114e-09,0.555,0.808
1014,1375,CPT1B,carnitine palmitoyltransferase 1B,1.5291e-11,0.653,0.538
1015,1376,CPT2,carnitine palmitoyltransferase 2,4.598e-10,0.542,0.769
1016,1378,CR1,complement C3b/C4b receptor 1 (Knops blood group),1.6488e-35,0.533,0.808
1018,1380,CR2,complement C3d receptor 2,4.7399e-19,0.556,0.654
1019,1381,CRABP1,cellular retinoic acid binding protein 1,0.0058779,0.631,0.615
1021,1384,CRAT,carnitine O-acetyltransferase,9.4796e-12,0.656,0.577
1022,1385,CREB1,cAMP responsive element binding protein 1,0.99673,0.463,0.885
1023,1386,ATF2,activating transcription factor 2,0.99131,0.551,0.808
1024,1387,CREBBP,CREB binding protein,1,0.427,0.808
1025,1388,ATF6B,activating transcription factor 6 beta,3.1036e-07,0.839,0.192
1026,1389,CREBL2,cAMP responsive element binding protein like 2,0.72167,1,0.077
1027,1390,CREM,cAMP responsive element modulator,0.50878,0.573,0.692
1028,1392,CRH,corticotropin releasing hormone,0.71614,0.439,0.808
1029,1393,CRHBP,corticotropin releasing hormone binding protein,0.21476,0.659,0.5
1030,1394,CRHR1,corticotropin releasing hormone receptor 1,3.7856e-05,0.517,0.769
1031,1395,CRHR2,corticotropin releasing hormone receptor 2,8.5473e-17,0.584,0.731
1035,1399,CRKL,"CRK like proto-oncogene, adaptor protein",0.44604,0.553,0.769
1037,1401,CRP,C-reactive protein,0.0036969,0.299,0.962
1038,1404,HAPLN1,hyaluronan and proteoglycan link protein 1,0.60242,0.663,0.577
1039,1406,CRX,cone-rod homeobox,0.51043,0.565,0.692
1041,1408,CRY2,cryptochrome circadian regulator 2,0.00031808,0.599,0.692
1042,1409,CRYAA,crystallin alpha A,0.17396,0.653,0.385
1043,1410,CRYAB,crystallin alpha B,0.02247,0.515,0.731
1044,1411,CRYBA1,crystallin beta A1,6.4088e-05,0.716,0.269
1046,1413,CRYBA4,crystallin beta A4,3.4999e-09,0.716,0.269
1047,1414,CRYBB1,crystallin beta B1,0.00070069,0.686,0.231
1048,1415,CRYBB2,crystallin beta B2,0.38956,0.623,0.462
1050,1417,CRYBB3,crystallin beta B3,3.5766e-11,0.769,0.269
1052,1419,CRYGB,crystallin gamma B,8.1381e-08,0.78,0.269
1053,1420,CRYGC,crystallin gamma C,0.0006061,0.612,0.577
1054,1421,CRYGD,crystallin gamma D,0.00030317,0.51,0.808
1055,1427,CRYGS,crystallin gamma S,0.023028,0.743,0.192
1058,1431,CS,citrate synthase,0.98402,0.59,0.654
1059,1432,MAPK14,mitogen-activated protein kinase 14,0.37466,0.379,0.923
1060,1434,CSE1L,chromosome segregation 1 like,1,0.521,0.808
1061,1435,CSF1,colony stimulating factor 1,0.99634,0.473,0.808
1062,1436,CSF1R,colony stimulating factor 1 receptor,0.13278,0.448,0.808
1063,1437,CSF2,colony stimulating factor 2,0.83468,0.33,0.962
1064,1438,CSF2RA,colony stimulating factor 2 receptor subunit alpha,2.3956e-10,0.67,0.615
1066,1440,CSF3,colony stimulating factor 3,0.38046,0.377,0.885
1067,1441,CSF3R,colony stimulating factor 3 receptor,1.5225e-10,0.55,0.692
1070,1444,CSHL1,chorionic somatomammotropin hormone like 1,3.0815e-12,0.647,0.577
1071,1445,CSK,C-terminal Src kinase,0.99977,0.606,0.692
1080,1457,CSNK2A1,casein kinase 2 alpha 1,0.98711,0.597,0.731
1083,1462,VCAN,versican,1,0.497,0.808
1084,1463,NCAN,neurocan,0.068,0.67,0.5
1091,1471,CST3,cystatin C,0.0039011,0.436,0.808
1095,1475,CSTA,cystatin A,0.00015316,0.592,0.731
1096,1476,CSTB,cystatin B,0.0065562,0.53,0.692
1101,1482,NKX2-5,NK2 homeobox 5,0.94531,0.533,0.692
1105,1487,CTBP1,C-terminal binding protein 1,0.98442,0.559,0.692
1108,1490,CCN2,cellular communication network factor 2,0.00050202,0.399,0.846
1109,1491,CTH,cystathionine gamma-lyase,7.482e-08,0.578,0.615
1110,1493,CTLA4,cytotoxic T-lymphocyte associated protein 4,0.94085,0.369,0.923
1111,1495,CTNNA1,catenin alpha 1,0.96962,0.584,0.538
1112,1496,CTNNA2,catenin alpha 2,0.42501,0.663,0.5
1113,1497,CTNS,"cystinosin, lysosomal cystine transporter",0.00030924,0.628,0.538
1115,1499,CTNNB1,catenin beta 1,0.99999,0.303,0.885
1116,1500,CTNND1,catenin delta 1,0.99999,0.5,0.808
1117,1501,CTNND2,catenin delta 2,1,0.578,0.731
1119,1504,CTRB1,chymotrypsinogen B1,2.4233e-06,0.76,0.385
1121,1508,CTSB,cathepsin B,5.8819e-11,0.457,0.846
1122,1509,CTSD,cathepsin D,0.00091747,0.478,0.846
1123,1510,CTSE,cathepsin E,1.4371e-14,0.631,0.615
1125,1512,CTSH,cathepsin H,1.2518e-08,0.626,0.654
1126,1513,CTSK,cathepsin K,3.0989e-05,0.497,0.808
1127,1514,CTSL,cathepsin L,0.0080454,0.488,0.846
1130,1520,CTSS,cathepsin S,0.34178,0.539,0.731
1132,1522,CTSZ,cathepsin Z,2.2587e-16,0.647,0.577
1133,1523,CUX1,cut like homeobox 1,1,0.465,0.846
1134,1524,CX3CR1,C-X3-C motif chemokine receptor 1,0.061371,0.457,0.885
1137,1528,CYB5A,cytochrome b5 type A,0.0015821,0.601,0.654
1139,1535,CYBA,cytochrome b-245 alpha chain,8.8678e-06,0.52,0.769
1140,1536,CYBB,cytochrome b-245 beta chain,0.99904,0.452,0.885
1144,1540,CYLD,CYLD lysine 63 deubiquitinase,0.99993,0.498,0.846
1146,1543,CYP1A1,cytochrome P450 family 1 subfamily A member 1,1.0635e-17,0.436,0.846
1147,1544,CYP1A2,cytochrome P450 family 1 subfamily A member 2,2.4795e-10,0.494,0.923
1148,1545,CYP1B1,cytochrome P450 family 1 subfamily B member 1,2.2024e-05,0.457,0.769
1149,1548,CYP2A6,cytochrome P450 family 2 subfamily A member 6,5.401e-09,0.555,0.731
1150,1549,CYP2A7,cytochrome P450 family 2 subfamily A member 7,3.7792e-15,0.686,0.538
1152,1553,CYP2A13,cytochrome P450 family 2 subfamily A member 13,8.6461e-07,0.695,0.462
1155,1557,CYP2C19,cytochrome P450 family 2 subfamily C member 19,6.4882e-20,0.467,0.846
1156,1558,CYP2C8,cytochrome P450 family 2 subfamily C member 8,1.9759e-22,0.615,0.615
1157,1559,CYP2C9,cytochrome P450 family 2 subfamily C member 9,1.2709e-10,0.506,0.885
1160,1565,CYP2D6,cytochrome P450 family 2 subfamily D member 6,1.0793e-25,0.437,0.885
1162,1571,CYP2E1,cytochrome P450 family 2 subfamily E member 1,8.0688e-09,0.459,0.885
1164,1573,CYP2J2,cytochrome P450 family 2 subfamily J member 2,1.6181e-15,0.628,0.615
1165,1576,CYP3A4,cytochrome P450 family 3 subfamily A member 4,5.7979e-11,0.461,0.885
1166,1577,CYP3A5,cytochrome P450 family 3 subfamily A member 5,6.2948e-17,0.511,0.846
1168,1579,CYP4A11,cytochrome P450 family 4 subfamily A member 11,1.087e-24,0.695,0.462
1170,1581,CYP7A1,cytochrome P450 family 7 subfamily A member 1,0.00024507,0.576,0.615
1171,1582,CYP8B1,cytochrome P450 family 8 subfamily B member 1,2.0558e-05,0.711,0.269
1172,1583,CYP11A1,cytochrome P450 family 11 subfamily A member 1,5.4912e-07,0.547,0.731
1173,1584,CYP11B1,cytochrome P450 family 11 subfamily B member 1,8.245e-07,0.563,0.615
