geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
2746,3769,KCNJ13,potassium inwardly rectifying channel subfamily J member 13,0.013685,0.659,0.308
2749,3775,KCNK1,potassium two pore domain channel subfamily K member 1,0.031161,0.76,0.462
2751,3777,KCNK3,potassium two pore domain channel subfamily K member 3,0.90018,0.584,0.654
2752,3778,KCNMA1,potassium calcium-activated channel subfamily M alpha 1,0.99731,0.518,0.846
2755,3781,KCNN2,potassium calcium-activated channel subfamily N member 2,0.99099,0.769,0.385
2756,3782,KCNN3,potassium calcium-activated channel subfamily N member 3,0.97227,0.621,0.615
2757,3783,KCNN4,potassium calcium-activated channel subfamily N member 4,5.0256e-07,0.653,0.577
2758,3784,KCNQ1,potassium voltage-gated channel subfamily Q member 1,4.5453e-08,0.485,0.769
2759,3785,KCNQ2,potassium voltage-gated channel subfamily Q member 2,0.99998,0.537,0.654
2760,3786,KCNQ3,potassium voltage-gated channel subfamily Q member 3,0.80089,0.604,0.462
2764,3791,KDR,kinase insert domain receptor,0.99982,0.378,0.885
2766,3795,KHK,ketohexokinase,2.0668e-09,0.7,0.346
2769,3798,KIF5A,kinesin family member 5A,0.99995,0.593,0.731
2771,3800,KIF5C,kinesin family member 5C,1,0.686,0.346
2775,3804,KIR2DL3,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3",2.6789e-09,0.612,0.654
2784,3814,KISS1,KiSS-1 metastasis suppressor,0.49039,0.507,0.808
2785,3815,KIT,"KIT proto-oncogene, receptor tyrosine kinase",0.98087,0.366,0.808
2786,3816,KLK1,kallikrein 1,0.00015311,0.533,0.769
2788,3818,KLKB1,kallikrein B1,6.2893e-13,0.604,0.692
2790,3821,KLRC1,killer cell lectin like receptor C1,4.139e-05,0.604,0.731
2794,3827,KNG1,kininogen 1,3.2071e-10,0.481,0.885
2795,3831,KLC1,kinesin light chain 1,0.37095,0.695,0.385
2796,3832,KIF11,kinesin family member 11,1,0.56,0.769
2799,3835,KIF22,kinesin family member 22,9.1697e-10,0.552,0.654
2801,3837,KPNB1,karyopherin subunit beta 1,1,0.691,0.385
2803,3839,KPNA3,karyopherin subunit alpha 3,0.95357,0.736,0.5
2808,3845,KRAS,"KRAS proto-oncogene, GTPase",0.00078803,0.32,0.923
2810,3848,KRT1,keratin 1,0.73629,0.575,0.654
2811,3849,KRT2,keratin 2,0.0012882,0.76,0.154
2813,3851,KRT4,keratin 4,5.4962e-10,0.736,0.423
2814,3852,KRT5,keratin 5,0.64172,0.512,0.731
2815,3853,KRT6A,keratin 6A,7.0326e-05,0.61,0.692
2816,3854,KRT6B,keratin 6B,5.5245e-10,0.663,0.577
2817,3855,KRT7,keratin 7,3.0861e-12,0.463,0.808
2818,3856,KRT8,keratin 8,2.36e-08,0.517,0.654
2819,3857,KRT9,keratin 9,1.1272e-06,0.678,0.346
2820,3858,KRT10,keratin 10,0.0025253,0.579,0.692
2821,3859,KRT12,keratin 12,2.5279e-14,0.751,0.192
2823,3861,KRT14,keratin 14,0.00020311,0.53,0.731
2825,3868,KRT16,keratin 16,1.5006e-14,0.565,0.769
2826,3872,KRT17,keratin 17,1.098e-11,0.531,0.654
2827,3875,KRT18,keratin 18,0.73477,0.53,0.692
2828,3880,KRT19,keratin 19,0.0043426,0.46,0.731
2830,3882,KRT32,keratin 32,1.3564e-18,0.805,0.192
2833,3887,KRT81,keratin 81,1.2108e-18,0.659,0.462
